"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Take Care Good Night","Girish Joshi","Mahesh Manjrekar, Abhay Mahajan, Sachin Khedekar","India","March 30, 2021",2018,"13+","110 min","Drama, International","A Metro Family decides to fight a Cyber Criminal threatening their stability and pride."
"Zoombies","Glenn Miller","Marcus Anderson, Kaiwi Lyman, Andrew Asper","","",2016,"13+","87 min","Horror, Science Fiction","When a strange virus quickly spreads through a safari park and turns all the zoo animals undead, those left in the park must stop the creatures before they escape and zombify the whole city."
"Yoga with Sound Meditations","Mark Knight","Ann-Marie Newland","","",2016,"ALL","9 min","Fitness, Special Interest","This session will establish how to prepare for the practice of both mindfulness and meditation. We learn to sit with a correctly aligned spine, to observe, regulate, slow down and control the breath. These in-turn will act upon the mind and begin to still its chatter and noise. Performed by Anne-Marie Newland founder of Sun Power Yoga teacher training school and author of ""Sun Power Yoga Shala!"""
"Yoga to Harness Your Chakra Energy","Mark Knight","Caroline Shola Arewa","","",2014,"ALL","18 min","Faith and Spirituality, Special Interest","Sharecare Windows presents Caroline Shola Arewa who describes the positions, meaning and qualities of energy, as well as the seven main chakras, gently leading you into a guided chakra meditation. Chakras are at the heart of the human energy system and understanding the chakra system can positively affect your physical health, emotional stability and spiritual awareness."
"Yoga to Ease Flight Anxiety","Mark Knight","Anne-Marie Newland","","",2016,"ALL","14 min","Fitness, Special Interest","Reduce the stress of flying by using these simple and affective yoga-based moves to keep the blood flowing around the body. Help prevent Deep Vein Thrombosis and allow the heart and the brain to get as much oxygen on board as possible. Drink plenty of water and get up and walk-It's really simple and effective."
"Yoga to Break Any Habit","Mark Knight","Dr Daniel J Nightingale","","",2014,"ALL","20 min","Special Interest","This session with Dr Daniel J Nightingale is helpful for anyone whose quality of life is diminished by habitual and addictive behavior. Discover techniques that can help you break your habit, allowing you to become in control of IT, rather than IT being in control of you. This session will prove to be beneficial to you any time you wish to listen to it-day or night."
"Yoga Savasana Relaxation","Mark Knight","Anne-Marie Newland","","",2014,"ALL","19 min","Fitness, Special Interest","Relax and reduce your stress while you lay down in a comfortable position to listen to this session. Yoga relaxation takes the whole body into a deep state of conscious relaxation. During a sleep or dream state the conscious mind is switched off and we have dreams which can result in not sleeping well and then you often wake up feeling exhausted."
"Yoga for Relaxation Anywhere","Mark Knight","Anne-Marie Newland","","",2014,"ALL","18 min","Fitness, Special Interest","Yoga relaxation takes the whole body into a deep state of conscious relaxation. This means the mind has been afforded the tools needed to switch off its subconscious. During a sleep or dream state, the conscious mind is turned in the off position and as a result we have dreams which may lead to you not sleeping well, waking up often and feeling exhausted."
"Yoga for Relaxation and Stress Relief Anywhere","Mark Knight","Anne-Marie Newland","","",2014,"ALL","20 min","Fitness, Special Interest","This session was designed to help you relax and reduce your level of stress with a daily dose of relaxation for the mind and the body. Lower your anxiety and increase your coping skills through the use of breathing that regulates the heart rhythm. In these stress relief sessions, the medical profession has evidence that the heart rate can actually drop and thus inducing calm."
"Yoga for Relaxation and Stress Relief","Mark Knight","Anne-Marie Newland","","",2014,"ALL","20 min","Special Interest","Relax and reduce your stress while you lay down in a comfortable position to listen to this session. It is a scientific fact that an overload of stress at home or work will eventually affect the body, the mind and its health. A daily dose of relaxation for the Mind and the body will help stress levels to lower by using the breath to regulate the heartbeat."
"Yoga for Mindfulness and Meditation","Mark Knight","Anne-Marie Newland","","",2016,"ALL","22 min","Fitness, Special Interest","We take you through Buddhist mindful philosophy, Yoga mantra meditation and a guided meditation session for use in your everyday life. Focusing on anything in your environment that you find soothing and calming helps you relax and our session gives you the tools to take your practice to new levels. Guided by Anne-Marie Newland the founder of Sun Power Yoga and author of Sun Power Yoga Shala."
"Yoga for Men's Health","Mark Knight","Anne-Marie Newland","","",2016,"ALL","60 min","Fitness, Special Interest","This session helps create confidence with simple technical rules that help develop your physical and mental ability. It is ideal for those who have never tried Yoga before as well as for the more advanced. The focus is on areas that are problematic for men, tight hips, thighs, groins, chest and back and increasing oxygen to the prostate gland. Guided by Anne-Marie Newland founder of Sun Power Yoga"
"Yoga for Breath Awareness","Mark Knight","Anne-Marie Newland","","",2016,"ALL","6 min","Fitness, Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. It is easy to begin this awareness by implementing five simple steps. This is perfect for short everyday relaxation before your exercise practice. Classically trained in the art of yoga in India and Canada, Anne-Marie Newland presents her own dynamic style of yoga known as Sun-Power Yoga."
"Yoga For Beginners","Mark Knight","Anne-Marie Newland","","",2016,"ALL","54 min","Fitness, Special Interest","This session is about the key to yoga - synchronized movement and breathing. Enjoying your experience is very important-don't push yourself to hard! This session is suitable for beginners of all levels of fitness and works every part of your body, offering variations for all movements. Guided by Anne-Marie Newland of Sun Power Yoga and Author of Sun Power Yoga Shala."
"Yoga for Abdominal Breathing","Mark Knight","Anne-Marie Newland","","",2019,"ALL","5 min","Special Interest","This breathing practice will reduce stress, calm the body and focus the mind, while also increasing energy. Practice this for at least 5 minutes. If you did this each day you would notice stress levels dropping, sleep improve and your ability to focus as well as feeling a lot calmer!. Accompanying video Iao Valley on Maui."
"Yatra (Telugu)","Mahi V Raghav","Mammootty, Suhasini Maniratnam","","",2019,"ALL","126 min","Drama, International","An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy."
"Yatra (Malayalam)","Mahi V Raghav","Mammootty, Suhasini Maniratnam","","",2019,"ALL","125 min","Drama, International","An Indian politician takes up a decision to go on a 900-mile walking tour as a part of his election campaign. Yatra is an emotional tribute to the former Chief Minister of Andhra Pradesh Y. S. Rajasekhara Reddy."
"Wonderful Nursery Rhymes with Mia - Little Baby Bum","Cannis Holder","","","",2019,"ALL","33 min","Kids","LittleBabyBum is proud to present a compilation with some of the most popular and educational nursery rhymes with Mia!"
"Wonderful Nursery Rhymes with Jacus - By Little Baby Bum","Cannis Holder","","","",2019,"ALL","34 min","Kids","Enjoy this educational and fun compilation of classic nursery rhymes with Jacus from Little Baby Bum!"
"Woke Up Like This","John Elbert Ferrer","Vhong Navarro, Lovi Poe","","",2017,"13+","104 min","Comedy","A story about Nando, who's a dutiful son and breadwinner to his family, and Sabrina, a rich kid and one of the top models in the country. While both prepare for their biggest breaks, these two strangers wake up one day in an extraordinary circumstance, switching bodies with each other. Philippines Tagalog movie."
"William the Conqueror","Frederic Compain","","","",2015,"13+","53 min","Documentary, Special Interest","One of the most powerful rulers in all of European history, William the Conqueror, is profiled in this documentary. From his rulership at age eight, to his commanding victory in the battle of Hastings, William reinvented the structure of European royalty. From the battlefield to the royal court, William set the stage for the continent's future. This is his story."
"William Tecumseh Sherman: Beyond the March to the Sea","Jonathan Chase Cook","Jonathan Chase Cook","","",2019,"13+","115 min","Documentary, Special Interest","Soldier, banker, lawyer, professor; William Tecumseh Sherman was more than a Civil War General. Sherman voyaged the world, influenced the California Gold Rush, started banks and Louisiana State University. He advised and entertained presidents, and changed the dynamic of war. Later he set decades of policy in the American West. Few leaders have had such a contentious impact on America as Sherman."
"William Lee Martin: The Nutcracker - A Christmas Stand-up Comedy Spectacular","Brandon Jones","William Lee Martin","","",2019,"16+","55 min","Arts, Entertainment, and Culture, Comedy","The Texas comedian returns with his third television one-hour special talking all things Christmas including traditions, the pitfalls of having family over, and finding the ultimate gift in this one-of-a-kind stand-up special."
"William Lee Martin: Standing in the Middle","Brandon Jones","William Lee Martin","","",2019,"18+","58 min","Arts, Entertainment, and Culture, Comedy, Special Interest","The middle aged, middle class, Texas comedian talks about life, being married, raising his five kids, and surviving in the middle of an America that is always changing."
"Wildlike","Frank Hall Green","Bruce Greenwood, Ella Purnell, Brian Geraghty","","",2021,"16+","104 min","Action, Drama","An unlikely friendship forms in the spectacular Alaskan wilderness, giving a runaway girl hope and sanctuary in America's last frontier."
